id,Entity Name,Entity Volume,Material
238,50,0 cubic m,
239,51,0 cubic m,
240,52,0 cubic m,
241,53,0 cubic m,
242,54,0 cubic m,
243,55,0 cubic m,
244,56,0 cubic m,
245,57,0 cubic m,
246,58,0 cubic m,
247,59,0 cubic m,
248,60,0 cubic m,
249,61,0 cubic m,
250,Group,0.036282 cubic m,Aluminum
251,Component#3,0.01225 cubic m,
252,Component#2,0.007071 cubic m,
253,Group,0.04 cubic m,Concrete_Reflective_A01_2m#1
254,Component#2,0.007071 cubic m,
255,Component#3,0.01225 cubic m,
256,Component#4,0.014836 cubic m,Veneer_B01_120cm
257,Component#4,0.014836 cubic m,Veneer_B01_120cm
258,Component#4,0.014836 cubic m,Veneer_B01_120cm
259,Component#4,0.014836 cubic m,Veneer_B01_120cm
260,Component#4,0.014836 cubic m,Veneer_B01_120cm
261,Component#4,0.014836 cubic m,Veneer_B01_120cm
262,Component#4,0.014836 cubic m,Veneer_B01_120cm
263,Component#4,0.014836 cubic m,Veneer_B01_120cm
264,Group,0 cubic m,
265,Group,0.941699 cubic m,Concrete_Reflective_A01_2m#1
266,Group,0 cubic m,
267,Component#1,0.017 cubic m,Veneer_B01_120cm
268,Component#1,0.017 cubic m,Veneer_B01_120cm
269,Component#1,0.017 cubic m,Veneer_B01_120cm
270,Component#1,0.017 cubic m,Veneer_B01_120cm
271,Component#1,0.017 cubic m,Veneer_B01_120cm
272,Component#1,0.017 cubic m,Veneer_B01_120cm
273,Component#1,0.017 cubic m,Veneer_B01_120cm
274,Component#1,0.017 cubic m,Veneer_B01_120cm
275,Component#1,0.017 cubic m,Veneer_B01_120cm
276,Component#1,0.017 cubic m,Veneer_B01_120cm
277,Component#1,0.017 cubic m,Veneer_B01_120cm
278,Component#1,0.017 cubic m,Veneer_B01_120cm
279,Component#1,0.017 cubic m,Veneer_B01_120cm
280,Component#1,0.017 cubic m,Veneer_B01_120cm
281,Component#1,0.017 cubic m,Veneer_B01_120cm
282,Component#1,0.017 cubic m,Veneer_B01_120cm
283,Component#1,0.017 cubic m,Veneer_B01_120cm
284,Component#1,0.017 cubic m,Veneer_B01_120cm
285,Component#1,0.017 cubic m,Veneer_B01_120cm
286,Component#1,0.017 cubic m,Veneer_B01_120cm
287,Component#1,0.017 cubic m,Veneer_B01_120cm
288,Component#1,0.017 cubic m,Veneer_B01_120cm
289,Component#1,0.017 cubic m,Veneer_B01_120cm
290,Component#1,0.017 cubic m,Veneer_B01_120cm
291,Component#1,0.017 cubic m,Veneer_B01_120cm
292,Component#1,0.017 cubic m,Veneer_B01_120cm
293,Component#1,0.017 cubic m,Veneer_B01_120cm
294,Component#1,0.017 cubic m,Veneer_B01_120cm
295,Component#1,0.017 cubic m,Veneer_B01_120cm
296,Component#1,0.017 cubic m,Veneer_B01_120cm
297,Component#1,0.017 cubic m,Veneer_B01_120cm
298,Component#1,0.017 cubic m,Veneer_B01_120cm
299,Component#1,0.017 cubic m,Veneer_B01_120cm
300,Component#1,0.017 cubic m,Veneer_B01_120cm
301,Component#1,0.017 cubic m,Veneer_B01_120cm
302,Component#1,0.017 cubic m,Veneer_B01_120cm
303,Component#1,0.017 cubic m,Veneer_B01_120cm
304,Component#1,0.017 cubic m,Veneer_B01_120cm
305,Component#1,0.017 cubic m,Veneer_B01_120cm
306,Component#1,0.017 cubic m,Veneer_B01_120cm
307,Component#1,0.017 cubic m,Veneer_B01_120cm
308,Component#1,0.017 cubic m,Veneer_B01_120cm
309,Component#1,0.017 cubic m,Veneer_B01_120cm
310,Component#1,0.017 cubic m,Veneer_B01_120cm
311,Component#1,0.017 cubic m,Veneer_B01_120cm
312,Group,0.015 cubic m,
313,Group,0.015 cubic m,
314,Group,0.015 cubic m,
315,Group,0.015 cubic m,
316,Group,0.014 cubic m,
317,Group,0.015 cubic m,
318,Component#4,0.014836 cubic m,Veneer_B01_120cm
319,Component#4,0.014836 cubic m,Veneer_B01_120cm
320,Component#4,0.014836 cubic m,Veneer_B01_120cm
321,Group,0.31496 cubic m,Concrete_Reflective_A01_2m#1
322,Component#4,0.014836 cubic m,Veneer_B01_120cm
323,Group,0.012 cubic m,Veneer_B01_120cm
324,Group,0.824966 cubic m,
325,Component#4,0.014836 cubic m,Veneer_B01_120cm
326,Group,0.003056 cubic m,Aluminum
327,Group,0.012 cubic m,Veneer_B01_120cm
328,Group,0 cubic m,
329,Component#4,0.014836 cubic m,Veneer_B01_120cm
330,Group,0.012 cubic m,Veneer_B01_120cm
331,Component#4,0.014836 cubic m,Veneer_B01_120cm
332,Component#4,0.014836 cubic m,Veneer_B01_120cm
333,Group,0.012 cubic m,Veneer_B01_120cm
334,Group,0.012 cubic m,Veneer_B01_120cm
335,Group,0.51042 cubic m,
336,Group,0.187505 cubic m,
337,Group,0.081133 cubic m,Concrete_Reflective_A01_2m#1
338,Group,0.036282 cubic m,Aluminum
339,Group,0.45 cubic m,
340,Group,0.0375 cubic m,Plywood_A_50cm1
341,Group,0.79371 cubic m,
342,Group,1.343208 cubic m,
343,Group,0.085654 cubic m,
344,Component#4,0.014836 cubic m,Veneer_B01_120cm
345,Component#4,0.014836 cubic m,Veneer_B01_120cm
346,Component#4,0.014836 cubic m,Veneer_B01_120cm
347,Group,2.594446 cubic m,
348,Group,0.003236 cubic m,Aluminum
349,Group,0.012 cubic m,Veneer_B01_120cm
350,Group,0.012 cubic m,Veneer_B01_120cm
351,Group,0 cubic m,
352,Component#4,0.014836 cubic m,Veneer_B01_120cm
353,Component#4,0.014836 cubic m,Veneer_B01_120cm
354,Component#4,0.014836 cubic m,Veneer_B01_120cm
